ciudad,país,motor,color
Alicante,España,1.7,Rojo
Vic,España,1.7,Blanco
Santander,España,1.7,Rojo
Algemesí,España,1.7,Rojo
Madrid,España,1.7,Rojo
Burgos,España,1.7,Rojo
Portugalete,España,1.6,Rojo
Zaragoza,España,1.7,Gris
Barcelona,España,1.4,Rojo
Barcelona,España,1.7,Plata
Badajoz,España,1.7,Rojo
Llodio,España,1.4,Rojo
Vizcaya,España,1.7,Rojo
Tenerife,España,1.7,Rojo
Tarragona,España,1.7,Rojo
Valencia,España,1.7,Rojo
Valencia,España,1.7,Rojo
Palencia,España,1.7,Rojo
Alicante,España,1.7,Rojo
Palma de Mallorca,España,1.7,Plata
Palma de Mallorca,España,1.7,Plata
Sevilla,España,1.7,Rojo
Madrid,España,1.7,Rojo
Denia,España,1.7,Rojo
Barcelona,España,1.6,Rojo
Madrid,España,1.7,Rojo
Madrid,España,1.4,Plata
Valdemoro,España,1.7,Plata
Valdemoro,España,1.4,Rojo
Ponferrada,España,1.7,Rojo
Ourense,España,1.6,Rojo
Leganés,España,1.6,Plata
Leganés,España,1.7,Rojo
Helsinki,Finlandia,1.7,Azul
